,Fecha_Retiro,Ciclo_Estacion_Retiro,ct,index
43584,2021-10-31,480.0,13,43584
43583,2021-10-31,479.0,10,43583
43582,2021-10-31,478.0,13,43582
43581,2021-10-31,477.0,16,43581
43580,2021-10-31,476.0,26,43580
43579,2021-10-31,475.0,10,43579
43578,2021-10-31,474.0,28,43578
43577,2021-10-31,473.0,8,43577
43576,2021-10-31,472.0,5,43576
43575,2021-10-31,471.0,4,43575
43574,2021-10-31,470.0,9,43574
43573,2021-10-31,469.0,8,43573
43572,2021-10-31,468.0,9,43572
43571,2021-10-31,467.0,7,43571
43570,2021-10-31,466.0,9,43570
43569,2021-10-31,465.0,17,43569
43568,2021-10-31,464.0,9,43568
43567,2021-10-31,463.0,17,43567
43566,2021-10-31,462.0,15,43566
43565,2021-10-31,461.0,9,43565
43564,2021-10-31,460.0,19,43564
43563,2021-10-31,459.0,4,43563
43562,2021-10-31,458.0,4,43562
43561,2021-10-31,457.0,3,43561
43560,2021-10-31,456.0,5,43560
43559,2021-10-31,454.0,13,43559
43558,2021-10-31,453.0,23,43558
43557,2021-10-31,452.0,4,43557
43556,2021-10-31,451.0,3,43556
43555,2021-10-31,450.0,32,43555
43554,2021-10-31,449.0,37,43554
43553,2021-10-31,448.0,10,43553
43552,2021-10-31,447.0,25,43552
43551,2021-10-31,446.0,23,43551
43550,2021-10-31,445.0,9,43550
43549,2021-10-31,444.0,1,43549
43548,2021-10-31,443.0,14,43548
43547,2021-10-31,441.0,4,43547
43546,2021-10-31,439.0,18,43546
43545,2021-10-31,438.0,12,43545
43544,2021-10-31,437.0,3,43544
43543,2021-10-31,436.0,13,43543
43542,2021-10-31,435.0,6,43542
43541,2021-10-31,434.0,6,43541
43540,2021-10-31,433.0,6,43540
43539,2021-10-31,432.0,8,43539
43538,2021-10-31,430.0,22,43538
43537,2021-10-31,429.0,1,43537
43536,2021-10-31,428.0,8,43536
43535,2021-10-31,427.0,15,43535
43534,2021-10-31,426.0,14,43534
43533,2021-10-31,425.0,16,43533
43532,2021-10-31,424.0,2,43532
43531,2021-10-31,422.0,8,43531
43530,2021-10-31,421.0,6,43530
43529,2021-10-31,420.0,14,43529
43528,2021-10-31,419.0,8,43528
43527,2021-10-31,418.0,9,43527
43526,2021-10-31,417.0,5,43526
43525,2021-10-31,416.0,9,43525
43524,2021-10-31,415.0,5,43524
43523,2021-10-31,414.0,8,43523
43522,2021-10-31,413.0,8,43522
43521,2021-10-31,412.0,13,43521
43520,2021-10-31,411.0,1,43520
43519,2021-10-31,410.0,3,43519
43518,2021-10-31,409.0,6,43518
43517,2021-10-31,408.0,13,43517
43516,2021-10-31,407.0,4,43516
43515,2021-10-31,406.0,4,43515
43514,2021-10-31,405.0,22,43514
43513,2021-10-31,404.0,26,43513
43512,2021-10-31,403.0,7,43512
43511,2021-10-31,402.0,5,43511
43510,2021-10-31,401.0,8,43510
43509,2021-10-31,400.0,12,43509
43508,2021-10-31,399.0,9,43508
43507,2021-10-31,398.0,25,43507
43506,2021-10-31,397.0,3,43506
43505,2021-10-31,396.0,8,43505
43504,2021-10-31,395.0,6,43504
43503,2021-10-31,394.0,9,43503
43502,2021-10-31,393.0,14,43502
43501,2021-10-31,392.0,10,43501
43500,2021-10-31,391.0,41,43500
43499,2021-10-31,390.0,47,43499
43498,2021-10-31,389.0,5,43498
43497,2021-10-31,388.0,2,43497
43496,2021-10-31,387.0,8,43496
